unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Eastern & Southern Africa,AGO,Angola,YFV,30,45,45,28,24,43,48,21,36,38,16,17,39,51,22,23,39,31,25,25,29,32,24,16,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ARG,Argentina,YFV,8,8,7,6,6,5,7,7,8,12,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,BEN,Benin,YFV,67,71,71,70,64,63,63,70,69,69,68,72,66,70,67,61,65,65,27,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BOL,Bolivia (Plurinational State of),YFV,72,77,84,82,89,88,73,83,90,92,74,72,88,93,87,84,23,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,BRA,Brazil,YFV,57,60,58,55,43,46,47,45,42,37,34,34,35,36,34,34,31,34,20,39,37,38,38,,,,,,,,,,,,,,,,,,
West & Central Africa,BFA,Burkina Faso,YFV,85,85,85,47,49,88,88,88,87,82,82,93,91,89,88,84,71,60,45,36,40,17,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,BDI,Burundi,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CPV,Cabo Verde,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CMR,Cameroon,YFV,57,56,58,62,68,70,77,83,80,75,79,72,77,74,72,68,59,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CAF,Central African Republic,YFV,41,41,41,41,46,47,47,24,48,48,55,62,62,62,62,62,55,48,42,35,36,37,41,42,,,,,,,,,,,,,,,,,
West & Central Africa,TCD,Chad,YFV,35,35,35,29,29,41,34,44,51,45,41,32,33,39,40,33,24,20,23,26,28,31,13,13,,,,,,,,,,,,,,,,,
Latin America & Caribbean,COL,Colombia,YFV,84,90,87,88,77,85,92,92,92,88,79,80,81,84,88,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COG,Congo,YFV,69,71,66,63,59,80,80,80,62,74,75,66,67,63,66,54,48,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,CIV,Cote d'Ivoire,YFV,69,74,74,68,62,54,52,61,73,49,64,24,50,68,67,83,73,65,67,67,60,48,57,59,,,,,,,,,,,,,,,,,
West & Central Africa,COD,Democratic Republic of the Congo,YFV,56,56,56,56,56,63,63,63,65,51,68,70,57,61,50,42,25,5,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ECU,Ecuador,YFV,79,84,85,84,81,78,86,73,74,74,81,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNQ,Equatorial Guinea,YFV,53,53,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GAB,Gabon,YFV,52,61,59,63,64,68,60,69,71,71,61,67,70,65,55,42,28,15,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,YFV,,87,91,90,84,97,96,97,95,91,92,96,95,88,89,91,84,84,85,84,85,86,86,87,,,,,,,,,,,,,,,,,
West & Central Africa,GHA,Ghana,YFV,88,92,91,86,88,88,92,87,88,91,93,93,86,94,84,82,81,77,82,87,74,60,50,40,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,YFV,40,40,40,40,40,44,45,51,56,62,56,52,47,45,38,39,39,28,17,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,YFV,71,79,80,72,80,75,53,75,75,78,74,69,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,YFV,95,94,96,99,99,99,99,99,99,97,94,97,97,96,90,91,89,89,90,90,83,45,7,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,YFV,7,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,YFV,49,65,70,72,64,56,54,73,78,70,64,83,74,64,57,58,34,28,39,56,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,YFV,58,66,66,66,68,64,59,60,63,66,69,72,74,71,72,72,62,57,28,8,11,13,10,,,,,,,,,,,,,,,,,,
West & Central Africa,MRT,Mauritania,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NER,Niger,YFV,67,83,78,82,76,84,79,75,73,52,64,67,47,37,32,37,32,26,21,15,10,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NGA,Nigeria,YFV,54,54,54,54,51,42,41,47,24,38,50,69,50,51,44,36,21,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PAN,Panama,YFV,5,7,6,6,6,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PRY,Paraguay,YFV,87,92,99,99,99,93,85,97,87,86,86,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PER,Peru,YFV,50,57,65,63,64,67,65,64,58,51,61,66,82,87,91,78,57,47,36,26,8,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,RWA,Rwanda,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,STP,Sao Tome and Principe,YFV,,,,,,,,91,92,91,92,90,94,86,85,68,51,34,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SEN,Senegal,YFV,88,82,79,79,77,80,80,83,80,84,80,76,81,86,80,75,75,59,53,34,34,43,50,,,,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,YFV,86,90,85,80,80,78,80,85,85,83,82,80,64,60,61,63,64,62,60,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SSD,South Sudan,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SUR,Suriname,YFV,44,57,63,67,61,68,61,58,55,10,11,11,11,12,14,18,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TGO,Togo,YFV,66,71,68,73,68,71,75,72,72,72,67,64,63,67,76,56,1,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,TTO,Trinidad and Tobago,YFV,,98,88,95,85,91,96,89,85,95,95,94,86,90,88,93,90,88,88,91,91,91,91,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,UGA,Uganda,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,TZA,United Republic of Tanzania,YFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VEN,Venezuela (Bolivarian Republic of),YFV,82,80,35,83,84,85,82,85,87,73,48,77,77,65,73,94,94,82,27,28,17,,,,,,,,,,,,,,,,,,,,
