Annual Total Population at Mid-Year (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO 3166-1 numeric code,Location,Note,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
900,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,   Africa,,   568 506,   584 569,   600 957,   617 632,   634 567,   651 763,   669 221,   686 917,   704 821,   722 922,   741 221,   759 753,   778 592,   797 836,   817 566,   837 821,   858 623,   880 017,   902 049,   924 758,   948 156,   972 266,   997 145,  1 022 859,  1 049 446,  1 076 934,  1 105 285,  1 134 398,  1 164 130,  1 194 370,  1 225 081,  1 256 268,  1 287 921,  1 320 039,  1 352 622
910,      Eastern Africa,,   176 422,   181 929,   187 549,   193 150,   198 646,   203 991,   209 239,   214 536,   220 082,   226 021,   232 413,   239 216,   246 346,   253 676,   261 114,   268 639,   276 292,   284 123,   292 207,   300 600,   309 313,   318 329,   327 631,   337 191,   346 987,   357 016,   367 279,   377 775,   388 503,   399 458,   410 638,   422 036,   433 643,   445 447,   457 440
108,         Burundi,,   4 842,   4 988,   5 136,   5 280,   5 415,   5 542,   5 661,   5 771,   5 872,   5 962,   6 041,   6 112,   6 186,   6 279,   6 401,   6 556,   6 742,   6 953,   7 182,   7 423,   7 675,   7 940,   8 212,   8 489,   8 767,   9 044,   9 320,   9 600,   9 892,   10 199,   10 524,   10 864,   11 216,   11 576,   11 939
174,         Comoros,,    366,    377,    388,    400,    412,    424,    436,    449,    462,    475,    489,    502,    515,    529,    542,    556,    569,    583,    597,    612,    626,    642,    657,    673,    690,    707,    724,    742,    759,    777,    796,    814,    832,    851,    870
262,         Djibouti,,    454,    490,    529,    564,    590,    607,    615,    618,    622,    630,    644,    661,    681,    700,    718,    733,    746,    759,    771,    783,    796,    809,    823,    837,    851,    866,    881,    897,    912,    927,    942,    957,    971,    986,   1 000
232,         Eritrea,,   2 837,   2 924,   3 006,   3 072,   3 113,   3 127,   3 119,   3 099,   3 085,   3 090,   3 116,   3 161,   3 224,   3 302,   3 393,   3 497,   3 615,   3 738,   3 859,   3 969,   4 067,   4 153,   4 233,   4 310,   4 391,   4 475,   4 561,   4 651,   4 746,   4 847,   4 955,   5 069,   5 188,   5 310,   5 432
231,         Ethiopia,,   42 121,   43 493,   44 932,   46 459,   48 087,   49 821,   51 648,   53 533,   55 431,   57 310,   59 155,   60 976,   62 794,   64 640,   66 537,   68 492,   70 497,   72 545,   74 624,   76 727,   78 851,   81 000,   83 185,   85 416,   87 703,   90 047,   92 444,   94 888,   97 367,   99 873,   102 403,   104 957,   107 535,   110 136,   112 759
404,         Kenya,,   20 379,   21 119,   21 871,   22 633,   23 403,   24 180,   24 964,   25 754,   26 548,   27 346,   28 148,   28 954,   29 770,   30 600,   31 450,   32 321,   33 214,   34 131,   35 075,   36 048,   37 052,   38 086,   39 148,   40 237,   41 350,   42 487,   43 647,   44 827,   46 024,   47 236,   48 462,   49 700,   50 951,   52 215,   53 492
450,         Madagascar,,   10 352,   10 648,   10 952,   11 269,   11 599,   11 943,   12 301,   12 675,   13 067,   13 475,   13 903,   14 348,   14 809,   15 283,   15 767,   16 261,   16 765,   17 279,   17 803,   18 337,   18 880,   19 434,   19 996,   20 569,   21 152,   21 744,   22 347,   22 961,   23 590,   24 234,   24 895,   25 571,   26 263,   26 970,   27 691
