region,iso3c,country,year,vaccine,vaccine_code,vaccine_desc,target,doses,coverage
Industrialized,AND,Andorra,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,49
Industrialized,AND,Andorra,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,64
Industrialized,AND,Andorra,2020,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,77
Industrialized,AND,Andorra,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,49
Industrialized,AND,Andorra,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,64
Industrialized,AND,Andorra,2020,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,77
MENA,ARE,United Arab Emirates,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,36293,9837,27
MENA,ARE,United Arab Emirates,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,37528,10353,28
MENA,ARE,United Arab Emirates,2020,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,42942,18729,44
MENA,ARE,United Arab Emirates,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,36293,9738,27
MENA,ARE,United Arab Emirates,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,37528,10241,27
MENA,ARE,United Arab Emirates,2020,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,42942,12514,29
LACR,ARG,Argentina,2011,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,344013,297385,86
LACR,ARG,Argentina,2012,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,345592,230625,67
LACR,ARG,Argentina,2013,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,347163,283681,82
LACR,ARG,Argentina,2014,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,348659,281069,81
LACR,ARG,Argentina,2015,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,349494,281467,81
LACR,ARG,Argentina,2016,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,349951,292853,84
LACR,ARG,Argentina,2017,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,350734,288263,82
LACR,ARG,Argentina,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,351531,311100,88
LACR,ARG,Argentina,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,352634,306816,87
LACR,ARG,Argentina,2012,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,345592,128040,37
LACR,ARG,Argentina,2013,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,347163,196648,57
LACR,ARG,Argentina,2014,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,348659,189362,54
LACR,ARG,Argentina,2015,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,349494,169678,49
LACR,ARG,Argentina,2016,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,349951,195943,56
LACR,ARG,Argentina,2017,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,350734,171164,49
